Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,PosÿSummary
AddisonÿReed*\reedad01,28,TOT,MLB,48,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
AddisonÿReed*\reedad01,28,NYM,NL,46,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
AddisonÿReed*\reedad01,28,BOS,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
AJÿReed*\reedaj01,24,HOU,AL,2,6,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0,/3D
CodyÿReed*\reedco01,24,CIN,NL,12,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-100,0,0,0,0,0,0,1
RobÿRefsnyder\refsnro01,26,TOT,AL,52,98,88,8,15,2,1,0,0,4,1,8,17,0.17,0.247,0.216,0.463,25,19,2,1,0,0,1,47/3D9
RobÿRefsnyder\refsnro01,26,NYY,AL,20,40,37,3,5,1,1,0,0,2,0,3,8,0.135,0.2,0.216,0.416,10,8,0,0,0,0,0,/7394D
RobÿRefsnyder\refsnro01,26,TOR,AL,32,58,51,5,10,1,0,0,0,2,1,5,9,0.196,0.281,0.216,0.496,36,11,2,1,0,0,1,4/D379
JackÿReinheimer\reinhja01,24,ARI,NL,2,5,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,-100,0,0,0,0,0,0,/6
AnthonyÿRendon\rendoan01,27,WSN,NL,147,605,508,81,153,41,1,25,100,7,2,84,82,0.301,0.403,0.533,0.937,139,271,7,7,0,6,6,*5
HunterÿRenfroe\renfrhu01,25,SDP,NL,122,479,445,51,103,25,1,26,58,3,0,27,140,0.231,0.284,0.467,0.751,96,208,4,6,0,1,1,*9/D
BenÿRevere*\reverbe01,29,LAA,AL,109,308,291,37,80,13,2,1,20,21,6,15,25,0.275,0.308,0.344,0.652,77,100,7,0,0,2,0,7/8D
JoseÿReyes#\reyesjo01,34,NYM,NL,145,561,501,75,123,25,7,15,58,24,6,50,79,0.246,0.315,0.413,0.728,94,207,3,2,5,3,1,654/87
MarkÿReynolds\reynoma01,33,COL,NL,148,593,520,82,139,22,1,30,97,2,1,69,175,0.267,0.352,0.487,0.839,103,253,12,1,0,3,0,*3/D7
MattÿReynolds\reynoma03,26,NYM,NL,68,130,113,12,26,1,2,1,5,0,1,14,37,0.23,0.326,0.301,0.626,71,34,2,2,1,0,1,56/4739
JacobÿRhame\rhameja01,24,NYM,NL,8,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
ClaytonÿRichard*\richacl01,33,SDP,NL,31,68,57,2,7,1,0,1,4,0,0,1,31,0.123,0.167,0.193,0.36,-4,11,0,2,8,0,0,1
JoeyÿRickard\rickajo01,26,BAL,AL,111,277,261,29,63,15,0,4,19,8,1,9,63,0.241,0.276,0.345,0.621,68,90,6,4,2,1,0,978
JTÿRiddle*\riddljt01,25,MIA,NL,70,247,228,20,57,13,1,3,31,0,2,12,50,0.25,0.282,0.355,0.637,73,81,6,0,2,5,2,6
YackselÿRios\riosya01,24,PHI,NL,13,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0,1
ReneÿRivera\riverre01,33,TOT,NL,74,237,218,23,55,9,0,10,35,0,1,14,70,0.252,0.305,0.431,0.736,94,94,4,3,1,1,3,3-Feb
ReneÿRivera\riverre01,33,NYM,NL,54,187,174,15,40,4,0,8,23,0,1,9,54,0.23,0.278,0.391,0.669,77,68,3,3,0,1,3,3-Feb
ReneÿRivera\riverre01,33,CHC,NL,20,50,44,8,15,5,0,2,12,0,0,5,16,0.341,0.408,0.591,0.999,154,26,1,0,1,0,0,2
T.J.ÿRivera\rivertj01,28,NYM,NL,73,231,214,27,62,13,1,5,27,1,0,9,32,0.29,0.33,0.43,0.76,103,92,4,5,1,2,0,534/7
YadielÿRivera\riverya01,25,MIL,NL,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0,/5
AnthonyÿRizzo*\rizzoan01,27,CHC,NL,157,691,572,99,156,32,3,32,109,10,4,91,90,0.273,0.392,0.507,0.899,131,290,21,24,0,4,11,*34/57
TannerÿRoark\roarkta01,30,WSN,NL,30,63,55,1,5,1,0,0,0,0,0,1,22,0.091,0.107,0.109,0.216,-44,6,1,0,7,0,0,1
DanielÿRobertson\roberda09,31,CLE,AL,32,88,80,9,18,4,1,1,7,0,1,7,3,0.225,0.287,0.338,0.625,63,27,6,0,1,0,1,97/8D
DanielÿRobertson\roberda10,23,TBR,AL,75,254,218,22,45,7,2,5,19,1,1,29,73,0.206,0.308,0.326,0.634,74,71,5,4,1,2,0,465/D7
DavidÿRobertson\roberda08,32,TOT,AL,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
DavidÿRobertson\roberda08,32,CHW,AL,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
DavidÿRobertson\roberda08,32,NYY,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
DrewÿRobinson*\robindr01,25,TEX,AL,48,121,107,11,24,5,0,6,13,0,2,14,42,0.224,0.314,0.439,0.753,91,47,2,0,0,0,0,57/468D
ShaneÿRobinson\robinsh01,32,LAA,AL,20,35,31,7,6,0,0,0,1,2,0,3,5,0.194,0.257,0.194,0.451,26,6,1,0,0,1,0,/987D
HanselÿRobles\robleha01,26,NYM,NL,43,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,1,0,0,1
VictorÿRobles\roblevi01,20,WSN,NL,13,27,24,2,6,1,2,0,4,0,1,0,6,0.25,0.308,0.458,0.766,94,11,2,2,1,0,0,/987
FernandoÿRodney\rodnefe01,40,ARI,NL,57,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
CarlosÿRodon*\rodonca01,24,CHW,AL,3,7,6,0,2,1,0,0,2,0,0,0,2,0.333,0.333,0.5,0.833,122,3,0,0,1,0,0,1
EduardoÿRodriguez*\rodried05,24,BOS,AL,3,7,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-100,0,0,0,0,0,0,1
JoelyÿRodriguez*\rodrijo06,25,PHI,NL,26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
SeanÿRodriguez\rodrise01,32,TOT,NL,54,153,132,18,22,2,0,5,8,1,0,16,57,0.167,0.276,0.295,0.572,52,39,3,4,1,0,1,549/7683
SeanÿRodriguez\rodrise01,32,ATL,NL,15,47,37,6,6,1,0,2,3,1,0,8,19,0.162,0.326,0.351,0.677,78,13,1,1,1,0,1,/5479
SeanÿRodriguez\rodrise01,32,PIT,NL,39,106,95,12,16,1,0,3,5,0,0,8,38,0.168,0.255,0.274,0.528,41,26,2,3,0,0,0,/5946873
ChazÿRoe\roech01,30,TOT,MLB,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
ChazÿRoe\roech01,30,ATL,NL,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
TaylorÿRogers*\rogerta01,26,MIN,AL,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
MiguelÿRojas\rojasmi02,28,MIA,NL,90,306,272,37,79,16,2,1,26,2,1,27,32,0.29,0.361,0.375,0.736,103,102,6,4,1,2,5,65/34
SalÿRomano*\romansa01,23,CIN,NL,16,30,24,0,1,1,0,0,0,0,0,1,15,0.042,0.08,0.083,0.163,-57,2,1,0,5,0,0,1
EnnyÿRomero\romeren01,26,WSN,NL,50,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0,1
AndrewÿRomine#\rominan01,31,DET,AL,124,348,318,45,74,17,2,4,25,6,4,22,67,0.233,0.289,0.336,0.625,67,107,7,4,2,2,0,4853796/D12
AustinÿRomine\rominau01,28,NYY,AL,80,252,229,19,50,9,1,2,21,0,0,16,57,0.218,0.272,0.293,0.565,49,67,7,2,2,3,0,23/D
SergioÿRomo\romose01,34,TOT,MLB,32,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
SergioÿRomo\romose01,34,LAD,NL,30,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
SergioÿRomo\romose01,34,TBR,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
BruceÿRondon\rondobr01,26,DET,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
HectorÿRondon\rondohe01,29,CHC,NL,59,2,2,0,1,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1,161,1,0,0,0,0,0,1
AdamÿRosales\rosalad01,34,TOT,MLB,105,312,289,25,65,16,0,7,36,1,2,11,100,0.225,0.26,0.353,0.613,62,102,6,4,4,4,1,654/3D7
AdamÿRosales\rosalad01,34,OAK,AL,71,223,205,15,48,11,0,4,27,1,1,10,66,0.234,0.273,0.346,0.619,68,71,2,2,3,3,0,6/45D7
AdamÿRosales\rosalad01,34,ARI,NL,34,89,84,10,17,5,0,3,9,0,1,1,34,0.202,0.227,0.369,0.596,48,31,4,2,1,1,1,56/34
AlbertoÿRosario\rosaral01,30,STL,NL,3,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,1,0,0,0,0,
